distance_km,avg_speed_kmph,vehicle_type,traffic_level,co2_emission
25.1,15,car,high,4518.0
87.6,21,car,medium,12614.4
75.4,21,car,medium,10857.6
50.3,20,bike,medium,2414.4
22.1,33,car,medium,3182.4
37.1,27,car,medium,5342.4
84.1,72,bike,low,3364.0
21.3,19,bike,high,1278.0
48.5,45,car,low,5820.0
29.2,37,car,medium,4204.8
54.1,17,bike,high,3246.0
83.6,11,bike,high,5016.0
53.8,32,bike,medium,2582.4
62.2,37,car,medium,8956.8
75.3,14,bike,high,4518.0
32.8,73,car,low,3936.0
82.3,32,car,medium,11851.2
16.9,7,car,high,3042.0
68.3,30,bike,medium,3278.4
49.9,32,car,medium,7185.6
9.9,16,car,high,1782.0
76.2,47,bike,low,3048.0
95.5,62,bike,low,3820.0
97.1,16,car,high,17478.0
1.5,18,car,high,270.0
68.9,23,car,medium,9921.6
26.4,13,bike,high,1584.0
63.1,69,bike,low,2524.0
85.0,31,bike,medium,4080.0
67.0,8,bike,high,4020.0
95.0,36,car,medium,13680.0
96.2,17,car,high,17316.0
6.6,67,car,low,792.0
93.4,8,car,high,16812.0
76.9,16,car,high,13842.0
37.1,53,bike,low,1484.0
48.8,41,car,low,5856.0
36.1,42,car,low,4332.0
53.9,55,car,low,6468.0
45.2,37,bike,medium,2169.6
95.9,15,car,high,17262.0
87.8,32,car,medium,12643.2
66.6,55,bike,low,2664.0
15.2,19,bike,high,912.0
13.7,5,bike,high,822.0
21.2,28,car,medium,3052.8
21.3,12,car,high,3834.0
22.6,40,car,medium,3254.4
67.4,31,bike,medium,3235.2
54.8,40,car,medium,7891.2
58.2,23,car,medium,8380.8
57.5,7,car,high,10350.0
98.3,5,bike,high,5898.0
56.4,75,bike,low,2256.0
21.7,5,car,high,3906.0
51.3,18,bike,high,3078.0
5.6,20,bike,high,336.0
9.3,18,bike,high,558.0
28.6,75,bike,low,1144.0
52.1,34,car,medium,7502.4
24.5,45,car,low,2940.0
52.9,71,bike,low,2116.0
3.4,14,bike,high,204.0
23.1,13,car,high,4158.0
1.6,42,bike,low,64.0
35.1,55,bike,low,1404.0
66.8,21,bike,medium,3206.4
91.3,66,car,low,10956.0
16.0,54,car,low,1920.0
92.6,16,bike,high,5556.0
23.4,33,car,medium,3369.6
51.3,27,car,medium,7387.2
31.9,28,bike,medium,1531.2
16.9,76,bike,low,676.0
64.2,26,bike,medium,3081.6
86.3,24,bike,medium,4142.4
30.5,26,bike,medium,1464.0
21.9,61,car,low,2628.0
30.2,54,car,low,3624.0
50.6,67,car,low,6072.0
33.6,43,car,low,4032.0
17.3,8,bike,high,1038.0
55.9,61,car,low,6708.0
63.8,50,bike,low,2552.0
63.4,16,bike,high,3804.0
4.5,70,bike,low,180.0
92.1,76,car,low,11052.0
15.5,59,car,low,1860.0
6.1,11,car,high,1098.0
35.2,14,car,high,6336.0
79.8,11,car,high,14364.0
82.3,63,car,low,9876.0
81.1,52,bike,low,3244.0
9.9,79,bike,low,396.0
39.1,6,bike,high,2346.0
70.2,60,car,low,8424.0
40.6,26,bike,medium,1948.8
16.7,26,bike,medium,801.6
72.9,5,bike,high,4374.0
16.2,17,bike,high,972.0
23.8,7,bike,high,1428.0
3.0,48,car,low,360.0
32.2,42,car,low,3864.0
86.3,37,car,medium,12427.2
1.7,69,car,low,204.0
60.8,12,bike,high,3648.0
68.9,13,car,high,12402.0
32.4,53,bike,low,1296.0
94.0,5,bike,high,5640.0
32.7,15,car,high,5886.0
77.6,10,bike,high,4656.0
3.5,26,car,medium,504.0
51.6,44,bike,low,2064.0
51.7,33,car,medium,7444.8
85.0,28,car,medium,12240.0
16.0,42,car,low,1920.0
94.6,73,bike,low,3784.0
75.9,69,bike,low,3036.0
33.8,52,bike,low,1352.0
43.9,60,bike,low,1756.0
65.5,21,car,medium,9432.0
30.5,62,car,low,3660.0
49.0,71,bike,low,1960.0
52.4,44,car,low,6288.0
75.1,42,bike,low,3004.0
74.7,20,car,high,13446.0
31.8,17,car,high,5724.0
2.5,16,car,high,450.0
65.3,14,bike,high,3918.0
99.7,13,bike,high,5982.0
59.5,18,car,high,10710.0
50.0,58,car,low,6000.0
25.3,71,car,low,3036.0
13.0,31,bike,medium,624.0
16.1,18,car,high,2898.0
56.8,78,car,low,6816.0
25.1,24,car,medium,3614.4
11.2,29,bike,medium,537.6
65.9,52,car,low,7908.0
27.3,35,car,medium,3931.2
38.0,77,car,low,4560.0
61.2,7,car,high,11016.0
84.3,57,car,low,10116.0
24.3,11,car,high,4374.0
35.3,35,car,medium,5083.2
18.6,42,bike,low,744.0
36.0,14,car,high,6480.0
97.7,24,car,medium,14068.8
13.2,40,bike,low,528.0
28.7,15,bike,high,1722.0
78.9,38,bike,medium,3787.2
40.7,71,car,low,4884.0
75.1,78,bike,low,3004.0
78.2,15,bike,high,4692.0
11.0,21,bike,medium,528.0
54.1,7,car,high,9738.0
2.9,17,car,high,522.0
88.8,7,car,high,15984.0
54.9,40,bike,low,2196.0
44.4,51,car,low,5328.0
19.1,30,bike,medium,916.8
85.5,49,car,low,10260.0
10.0,10,bike,high,600.0
23.6,5,bike,high,1416.0
99.3,39,car,medium,14299.2
61.5,21,bike,medium,2952.0
78.2,36,bike,medium,3753.6
64.3,39,car,medium,9259.2
1.3,11,bike,high,78.0
98.6,13,car,high,17748.0
15.4,17,bike,high,924.0
47.7,69,bike,low,1908.0
16.4,47,car,low,1968.0
45.3,12,bike,high,2718.0
43.1,17,car,high,7758.0
57.9,35,car,medium,8337.6
22.4,14,bike,high,1344.0
14.0,32,bike,medium,672.0
4.7,19,car,high,846.0
59.8,31,bike,medium,2870.4
74.2,33,bike,medium,3561.6
21.7,30,car,medium,3124.8
55.1,43,bike,low,2204.0
39.9,46,bike,low,1596.0
44.8,30,car,medium,6451.2
13.1,34,car,medium,1886.4
25.5,66,bike,low,1020.0
8.0,26,bike,medium,384.0
31.7,73,bike,low,1268.0
84.1,67,car,low,10092.0
24.3,33,bike,medium,1166.4
49.1,20,bike,high,2946.0
1.0,18,car,high,180.0
25.4,14,bike,high,1524.0
15.5,57,bike,low,620.0
31.0,15,bike,high,1860.0
81.8,48,bike,low,3272.0
79.3,69,bike,low,3172.0
21.0,12,bike,high,1260.0
36.2,20,bike,high,2172.0
57.3,43,bike,low,2292.0
79.2,20,car,high,14256.0
70.6,39,car,medium,10166.4
96.1,25,car,medium,13838.4
51.5,5,bike,high,3090.0
28.6,48,car,low,3432.0
23.0,31,car,medium,3312.0
40.3,44,car,low,4836.0
8.4,9,car,high,1512.0
37.0,63,car,low,4440.0
37.7,26,car,medium,5428.8
73.6,22,bike,medium,3532.8
49.1,20,car,high,8838.0
54.7,56,car,low,6564.0
46.8,26,bike,medium,2246.4
54.6,9,bike,high,3276.0
66.2,34,car,medium,9532.8
51.2,35,car,medium,7372.8
51.1,24,bike,medium,2452.8
55.8,8,bike,high,3348.0
63.9,11,bike,high,3834.0
23.2,24,car,medium,3340.8
56.9,8,car,high,10242.0
2.2,19,car,high,396.0
57.6,23,car,medium,8294.4
40.5,9,car,high,7290.0
37.7,11,car,high,6786.0
81.8,20,bike,medium,3926.4
95.5,32,bike,medium,4584.0
75.5,26,car,medium,10872.0
93.0,24,car,medium,13392.0
38.7,15,car,high,6966.0
80.7,15,bike,high,4842.0
32.4,72,bike,low,1296.0
21.7,40,bike,medium,1041.6
21.1,11,bike,high,1266.0
22.0,41,car,low,2640.0
58.3,27,car,medium,8395.2
24.4,29,bike,medium,1171.2
87.3,17,bike,high,5238.0
87.1,29,bike,medium,4180.8
67.3,75,car,low,8076.0
97.1,38,car,medium,13982.4
60.2,52,bike,low,2408.0
70.5,17,bike,high,4230.0
22.5,13,car,high,4050.0
81.9,33,bike,medium,3931.2
11.3,11,car,high,2034.0
50.1,27,car,medium,7214.4
72.5,13,car,high,13050.0
82.2,32,bike,medium,3945.6
75.2,78,bike,low,3008.0
78.2,6,bike,high,4692.0
55.3,67,bike,low,2212.0
91.7,5,bike,high,5502.0
68.5,36,car,medium,9864.0
56.6,14,car,high,10188.0
44.2,13,car,high,7956.0
92.5,16,bike,high,5550.0
30.7,49,car,low,3684.0
34.7,40,bike,medium,1665.6
16.7,64,car,low,2004.0
38.5,70,bike,low,1540.0
13.6,7,bike,high,816.0
37.7,32,car,medium,5428.8
51.8,17,bike,high,3108.0
75.6,38,car,medium,10886.4
74.9,65,bike,low,2996.0
78.3,35,car,medium,11275.2
59.5,28,bike,medium,2856.0
64.0,6,car,high,11520.0
37.9,66,bike,low,1516.0
4.1,20,car,medium,590.4
49.9,65,car,low,5988.0
52.4,27,car,medium,7545.6
88.7,36,bike,medium,4257.6
10.2,39,car,medium,1468.8
39.8,37,bike,medium,1910.4
7.3,34,bike,medium,350.4
92.3,71,bike,low,3692.0
5.2,13,car,high,936.0
37.9,34,car,medium,5457.6
85.7,19,bike,high,5142.0
20.5,67,bike,low,820.0
42.3,37,car,medium,6091.2
66.1,36,car,medium,9518.4
66.1,58,car,low,7932.0
48.8,74,car,low,5856.0
9.6,36,bike,medium,460.8
8.0,62,car,low,960.0
58.8,10,car,high,10584.0
73.8,74,car,low,8856.0
9.7,31,car,medium,1396.8
91.8,78,bike,low,3672.0
45.0,34,bike,medium,2160.0
87.9,24,car,medium,12657.6
56.0,40,bike,low,2240.0
21.9,27,bike,medium,1051.2
84.7,68,bike,low,3388.0
72.6,14,car,high,13068.0
96.4,8,car,high,17352.0
14.3,55,car,low,1716.0
36.1,19,car,high,6498.0
87.4,27,car,medium,12585.6
83.1,8,bike,high,4986.0
51.7,30,car,medium,7444.8
10.2,37,car,medium,1468.8
9.6,16,car,high,1728.0
38.0,40,bike,low,1520.0
8.5,72,bike,low,340.0
38.0,43,bike,low,1520.0
68.8,20,car,high,12384.0
62.2,67,car,low,7464.0
32.8,20,bike,high,1968.0
18.2,16,bike,high,1092.0
15.9,51,bike,low,636.0
99.0,21,car,medium,14256.0
73.6,11,bike,high,4416.0
34.3,40,bike,low,1372.0
35.7,39,car,medium,5140.8
62.9,27,car,medium,9057.6
32.6,80,bike,low,1304.0
88.7,51,bike,low,3548.0
97.7,76,bike,low,3908.0
5.9,18,bike,high,354.0
63.9,26,car,medium,9201.6
35.6,27,car,medium,5126.4
66.9,24,car,medium,9633.6
15.6,16,bike,high,936.0
76.2,45,car,low,9144.0
36.5,78,bike,low,1460.0
83.2,73,car,low,9984.0
78.5,39,car,medium,11304.0
96.2,34,car,medium,13852.8
15.6,18,bike,high,936.0
83.0,63,car,low,9960.0
30.4,74,bike,low,1216.0
10.0,74,bike,low,400.0
46.8,35,bike,medium,2246.4
4.5,39,bike,medium,216.0
16.0,13,bike,high,960.0
65.5,15,car,high,11790.0
56.4,74,car,low,6768.0
13.5,9,bike,high,810.0
1.7,58,bike,low,68.0
88.0,30,car,medium,12672.0
49.3,7,bike,high,2958.0
34.9,29,car,medium,5025.6
48.2,16,bike,high,2892.0
33.0,26,car,medium,4752.0
8.9,67,bike,low,356.0
74.7,20,bike,medium,3585.6
75.7,6,bike,high,4542.0
6.3,31,bike,medium,302.4
76.0,64,car,low,9120.0
4.6,31,bike,medium,220.8
94.6,8,car,high,17028.0
51.5,5,bike,high,3090.0
15.1,8,car,high,2718.0
57.2,40,bike,medium,2745.6
89.0,6,bike,high,5340.0
5.4,60,bike,low,216.0
45.2,13,car,high,8136.0
66.2,32,car,medium,9532.8
42.5,14,car,high,7650.0
64.6,24,car,medium,9302.4
47.6,19,car,high,8568.0
7.2,7,bike,high,432.0
61.4,74,bike,low,2456.0
65.8,39,car,medium,9475.2
32.9,30,car,medium,4737.6
52.0,10,bike,high,3120.0
40.6,9,car,high,7308.0
25.7,44,car,low,3084.0
33.8,38,bike,medium,1622.4
33.3,35,car,medium,4795.2
64.0,30,bike,medium,3072.0
3.2,9,car,high,576.0
75.9,23,bike,medium,3643.2
14.3,76,car,low,1716.0
50.1,16,car,high,9018.0
67.2,26,car,medium,9676.8
35.5,52,car,low,4260.0
65.6,19,car,high,11808.0
58.1,14,car,high,10458.0
98.9,18,bike,high,5934.0
8.1,37,car,medium,1166.4
98.6,59,car,low,11832.0
33.5,30,car,medium,4824.0
22.6,10,car,high,4068.0
77.1,27,bike,medium,3700.8
26.0,13,car,high,4680.0
85.3,12,bike,high,5118.0
58.2,18,bike,high,3492.0
94.9,19,bike,high,5694.0
16.4,80,car,low,1968.0
44.5,30,bike,medium,2136.0
35.4,18,bike,high,2124.0
31.3,8,bike,high,1878.0
15.4,29,bike,medium,739.2
70.3,40,bike,medium,3374.4
12.0,57,car,low,1440.0
9.0,19,car,high,1620.0
40.4,79,car,low,4848.0
66.4,74,car,low,7968.0
4.7,9,car,high,846.0
67.5,20,bike,high,4050.0
61.6,11,car,high,11088.0
27.0,54,bike,low,1080.0
34.7,77,bike,low,1388.0
9.6,60,bike,low,384.0
6.5,63,car,low,780.0
21.5,10,car,high,3870.0
12.0,46,car,low,1440.0
78.2,7,car,high,14076.0
41.3,26,car,medium,5947.2
15.6,74,car,low,1872.0
23.0,7,bike,high,1380.0
65.5,50,car,low,7860.0
38.3,15,bike,high,2298.0
72.9,5,bike,high,4374.0
25.4,39,bike,medium,1219.2
87.6,38,bike,medium,4204.8
37.5,49,bike,low,1500.0
68.3,27,bike,medium,3278.4
87.2,13,car,high,15696.0
21.3,9,car,high,3834.0
17.7,67,car,low,2124.0
